,sample,episode,number_of_iter
348,250,110,5
349,250,110,7
350,250,110,7
351,250,110,7
352,250,110,5
353,250,110,7
354,250,110,6
355,250,110,8
356,250,110,5
357,250,110,6
358,250,110,6
359,250,110,7
360,250,110,7
361,250,110,8
362,250,110,6
363,250,110,7
364,250,110,5
365,250,110,5
366,250,110,6
367,250,110,7
368,250,110,5
369,250,110,7
370,250,110,5
371,250,110,6
372,250,110,7
373,250,110,6
374,250,110,8
375,250,110,5
376,250,110,6
377,250,110,5
378,250,110,7
379,250,110,8
380,250,110,5
381,250,110,8
382,250,110,8
383,250,110,6
384,250,110,8
385,250,110,4
386,250,110,7
387,250,110,6
388,250,110,5
389,250,110,6
390,250,110,7
391,250,110,5
392,250,110,7
393,250,110,7
394,250,110,8
395,250,110,6
396,250,110,12
397,250,110,6
398,250,110,7
399,250,110,9
400,250,110,6
401,250,110,9
402,250,110,6
403,250,110,6
404,250,110,6
405,250,110,9
406,250,110,7
407,250,110,5
408,250,110,7
409,250,110,10
410,250,110,7
411,250,110,11
412,250,110,6
413,250,110,7
414,250,110,7
415,250,110,8
416,250,110,6
417,250,110,8
418,250,110,6
419,250,110,5
420,250,110,7
421,250,110,9
422,250,110,6
423,250,110,8
424,250,110,7
425,250,110,6
426,250,110,6
427,250,110,7
428,250,110,9
429,250,110,6
430,250,110,7
431,250,110,7
432,250,110,8
433,250,110,7
434,250,110,3
435,250,110,6
436,250,110,7
437,250,110,4
438,250,110,8
439,250,110,5
440,250,110,5
441,250,110,5
442,250,110,7
443,250,110,7
444,250,110,9
445,250,110,6
446,250,110,7
447,250,110,6
448,250,110,5
449,250,110,8
450,250,110,6
451,250,110,6
452,250,110,9
453,250,110,6
454,250,110,5
455,250,110,5
456,250,110,7
457,250,110,6
458,250,110,10
459,250,110,8
460,250,110,7
461,250,110,5
462,250,110,8
463,250,110,6
464,250,110,6
465,250,110,7
466,250,110,5
467,250,110,7
468,250,110,6
469,250,110,7
470,250,110,7
471,250,110,6
472,250,110,6
473,250,110,8
474,250,110,5
475,250,110,7
476,250,110,8
477,250,110,6
478,250,110,9
479,250,110,6
480,250,110,6
481,250,110,6
482,250,110,6
483,250,110,5
484,250,110,8
485,250,110,8
486,250,110,6
487,250,110,7
488,250,110,9
489,250,110,7
490,250,110,5
491,250,110,8
492,250,110,4
493,250,110,12
494,250,110,7
495,250,110,7
496,250,110,6
497,250,110,7
498,250,110,7
499,250,110,6
