,sample,episode,number_of_iter
348,200,100,6
349,200,100,7
350,200,100,6
351,200,100,5
352,200,100,5
353,200,100,9
354,200,100,5
355,200,100,9
356,200,100,8
357,200,100,7
358,200,100,6
359,200,100,6
360,200,100,7
361,200,100,6
362,200,100,8
363,200,100,8
364,200,100,8
365,200,100,7
366,200,100,5
367,200,100,6
368,200,100,7
369,200,100,5
370,200,100,5
371,200,100,7
372,200,100,8
373,200,100,6
374,200,100,5
375,200,100,7
376,200,100,6
377,200,100,7
378,200,100,7
379,200,100,8
380,200,100,5
381,200,100,7
382,200,100,7
383,200,100,8
384,200,100,5
385,200,100,6
386,200,100,7
387,200,100,6
388,200,100,8
389,200,100,6
390,200,100,7
391,200,100,10
392,200,100,8
393,200,100,8
394,200,100,7
395,200,100,8
396,200,100,8
397,200,100,10
398,200,100,9
399,200,100,5
400,200,150,9
401,200,150,7
402,200,150,6
403,200,150,5
404,200,150,5
405,200,150,5
406,200,150,5
407,200,150,7
408,200,150,7
409,200,150,6
410,200,150,7
411,200,150,7
412,200,150,7
413,200,150,7
414,200,150,10
415,200,150,8
416,200,150,9
417,200,150,8
418,200,150,6
419,200,150,10
420,200,150,7
421,200,150,5
422,200,150,6
423,200,150,6
424,200,150,7
425,200,150,7
426,200,150,5
427,200,150,7
428,200,150,6
429,200,150,6
430,200,150,9
431,200,150,9
432,200,150,7
433,200,150,7
434,200,150,5
435,200,150,7
436,200,150,6
437,200,150,7
438,200,150,9
439,200,150,5
440,200,150,7
441,200,150,6
442,200,150,5
443,200,150,9
444,200,150,8
445,200,150,8
446,200,150,5
447,200,150,5
448,200,150,8
449,200,150,7
450,200,150,5
451,200,150,6
452,200,150,7
453,200,150,5
454,200,150,7
455,200,150,9
456,200,150,5
457,200,150,7
458,200,150,6
459,200,150,6
460,200,150,5
461,200,150,8
462,200,150,7
463,200,150,6
464,200,150,7
465,200,150,5
466,200,150,7
467,200,150,8
468,200,150,4
469,200,150,9
470,200,150,6
471,200,150,8
472,200,150,8
473,200,150,7
474,200,150,5
475,200,150,8
476,200,150,6
477,200,150,4
478,200,150,4
479,200,150,5
480,200,150,5
481,200,150,6
482,200,150,5
483,200,150,6
484,200,150,8
485,200,150,9
486,200,150,6
487,200,150,8
488,200,150,9
489,200,150,7
490,200,150,6
491,200,150,7
492,200,150,5
493,200,150,6
494,200,150,6
495,200,150,6
496,200,150,6
497,200,150,7
498,200,150,6
499,200,150,5
500,200,150,7
501,200,150,5
502,200,150,12
503,200,150,7
504,200,150,9
505,200,150,6
506,200,150,7
507,200,150,10
508,200,150,4
509,200,150,7
510,200,150,8
511,200,150,6
512,200,150,7
513,200,150,6
514,200,150,7
515,200,150,7
516,200,150,6
517,200,150,7
518,200,150,7
519,200,150,10
520,200,150,6
521,200,150,8
522,200,150,7
523,200,150,6
524,200,150,11
525,200,150,8
526,200,150,7
527,200,150,7
528,200,150,6
529,200,150,4
530,200,150,8
531,200,150,13
532,200,150,8
533,200,150,6
534,200,150,6
535,200,150,5
536,200,150,8
537,200,150,9
538,200,150,6
539,200,150,7
540,200,150,5
541,200,150,6
542,200,150,5
543,200,150,4
544,200,150,6
545,200,150,5
546,200,150,7
547,200,150,5
548,200,150,7
549,200,150,7
550,200,150,7
551,200,150,6
552,200,150,5
553,200,150,7
554,200,150,7
555,200,150,6
556,200,150,5
557,200,150,7
558,200,150,10
559,200,150,5
560,200,150,5
561,200,150,7
562,200,150,6
563,200,150,11
564,200,150,7
565,200,150,6
566,200,150,6
567,200,150,7
568,200,150,7
569,200,150,4
570,200,150,8
571,200,150,7
572,200,150,7
573,200,150,5
574,200,150,7
575,200,150,5
576,200,150,7
577,200,150,5
578,200,150,9
579,200,150,6
580,200,150,7
581,200,150,8
582,200,150,8
583,200,150,7
584,200,150,7
585,200,150,6
586,200,150,9
587,200,150,8
588,200,150,5
589,200,150,5
590,200,150,5
591,200,150,6
592,200,150,5
593,200,150,6
594,200,150,5
595,200,150,8
596,200,150,9
597,200,150,10
598,200,150,7
599,200,150,8
600,200,200,6
601,200,200,7
602,200,200,6
603,200,200,7
604,200,200,6
605,200,200,7
606,200,200,8
607,200,200,5
608,200,200,8
609,200,200,7
610,200,200,8
611,200,200,5
612,200,200,7
613,200,200,6
614,200,200,5
615,200,200,6
616,200,200,4
617,200,200,5
618,200,200,5
619,200,200,8
620,200,200,6
621,200,200,6
622,200,200,7
623,200,200,7
624,200,200,5
625,200,200,8
626,200,200,7
627,200,200,6
628,200,200,5
629,200,200,7
630,200,200,7
631,200,200,12
632,200,200,5
633,200,200,5
634,200,200,5
635,200,200,7
636,200,200,5
637,200,200,6
638,200,200,6
639,200,200,8
640,200,200,6
641,200,200,7
642,200,200,7
643,200,200,5
644,200,200,7
645,200,200,4
646,200,200,4
647,200,200,4
648,200,200,6
649,200,200,7
650,200,200,7
651,200,200,10
652,200,200,8
653,200,200,6
654,200,200,6
655,200,200,5
656,200,200,5
657,200,200,8
658,200,200,7
659,200,200,7
660,200,200,7
661,200,200,4
662,200,200,7
663,200,200,5
664,200,200,6
665,200,200,5
666,200,200,7
667,200,200,7
668,200,200,5
669,200,200,5
670,200,200,7
671,200,200,4
672,200,200,6
673,200,200,7
674,200,200,5
675,200,200,6
676,200,200,7
677,200,200,9
678,200,200,7
679,200,200,6
680,200,200,3
681,200,200,6
682,200,200,7
683,200,200,7
684,200,200,5
685,200,200,5
686,200,200,5
687,200,200,8
688,200,200,7
689,200,200,7
690,200,200,6
691,200,200,6
692,200,200,7
693,200,200,6
694,200,200,7
695,200,200,7
696,200,200,5
697,200,200,5
698,200,200,6
699,200,200,7
700,200,200,7
701,200,200,9
702,200,200,7
703,200,200,6
704,200,200,5
705,200,200,7
706,200,200,6
707,200,200,8
708,200,200,7
709,200,200,5
710,200,200,7
711,200,200,8
712,200,200,6
713,200,200,8
714,200,200,8
715,200,200,7
716,200,200,6
717,200,200,5
718,200,200,4
719,200,200,7
720,200,200,9
721,200,200,7
722,200,200,6
723,200,200,8
724,200,200,6
725,200,200,6
726,200,200,5
727,200,200,7
728,200,200,6
729,200,200,8
730,200,200,7
731,200,200,6
732,200,200,6
733,200,200,6
734,200,200,6
735,200,200,6
736,200,200,7
737,200,200,8
738,200,200,7
739,200,200,7
740,200,200,6
